Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6509; 65; 10000; 100; 0.15;3559;3976;65.652792887
A6509; 65; 10000; 100; 0.15;3572;3976;62.940985021
A6509; 65; 10000; 100; 0.15;3619;3976;59.71324912
A6509; 65; 10000; 100; 0.15;3295;3976;56.427258889
A6509; 65; 10000; 100; 0.15;3680;3976;64.110318883
A6509; 65; 10000; 100; 0.15;3085;3976;55.611453038
A6509; 65; 10000; 100; 0.15;3223;3976;53.404160864
A6509; 65; 10000; 100; 0.15;3255;3976;59.95784177
A6509; 65; 10000; 100; 0.15;3623;3976;60.300397455
A6509; 65; 10000; 100; 0.15;3573;3976;65.804325992

