Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A5307; 53; 10000; 100; 0.15;2924;3796;87.694052621
A5307; 53; 10000; 100; 0.15;3028;3796;89.298156368
A5307; 53; 10000; 100; 0.15;2956;3796;89.892615048
A5307; 53; 10000; 100; 0.15;2948;3796;92.761034276
A5307; 53; 10000; 100; 0.15;2787;3796;83.941753838
A5307; 53; 10000; 100; 0.15;2943;3796;93.455560592
A5307; 53; 10000; 100; 0.15;2924;3796;89.829042354
A5307; 53; 10000; 100; 0.15;2715;3796;90.983025496
A5307; 53; 10000; 100; 0.15;2785;3796;88.724563092
A5307; 53; 10000; 100; 0.15;2679;3796;81.733219071

