Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6009; 60; 10000; 100; 0.15;3312;4230;61.635604451
A6009; 60; 10000; 100; 0.15;3645;4230;60.599295107
A6009; 60; 10000; 100; 0.15;3206;4230;53.965695114
A6009; 60; 10000; 100; 0.15;3427;4230;60.791658899
A6009; 60; 10000; 100; 0.15;3748;4230;62.269983899
A6009; 60; 10000; 100; 0.15;3281;4230;59.851200784
A6009; 60; 10000; 100; 0.15;3504;4230;56.531404935
A6009; 60; 10000; 100; 0.15;3435;4230;54.348294485
A6009; 60; 10000; 100; 0.15;3529;4230;58.692263308
A6009; 60; 10000; 100; 0.15;3489;4230;55.174031351

