Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3905; 39; 10000; 100; 0.15;2120;2666;37.521724572
A3905; 39; 10000; 100; 0.15;2088;2666;40.145992244
A3905; 39; 10000; 100; 0.15;1983;2666;36.524078717
A3905; 39; 10000; 100; 0.15;2277;2666;36.920814456
A3905; 39; 10000; 100; 0.15;2045;2666;33.591895117
A3905; 39; 10000; 100; 0.15;2131;2666;36.648404053
A3905; 39; 10000; 100; 0.15;2128;2666;38.619822526
A3905; 39; 10000; 100; 0.15;2114;2666;38.716641266
A3905; 39; 10000; 100; 0.15;1973;2666;35.275752658
A3905; 39; 10000; 100; 0.15;1998;2666;32.505036237

