Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A8010; 80; 10000; 100; 0.15;5602;6039;125.924671697
A8010; 80; 10000; 100; 0.15;5273;6039;126.362091243
A8010; 80; 10000; 100; 0.15;5612;6039;130.036249125
A8010; 80; 10000; 100; 0.15;5483;6039;129.373880305
A8010; 80; 10000; 100; 0.15;5389;6039;128.216448445
A8010; 80; 10000; 100; 0.15;5544;6039;130.921199706
A8010; 80; 10000; 100; 0.15;5341;6039;128.378484901
A8010; 80; 10000; 100; 0.15;5353;6039;133.441265839
A8010; 80; 10000; 100; 0.15;5535;6039;130.610487732
A8010; 80; 10000; 100; 0.15;5404;6039;129.463871361

