Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3205; 32; 10000; 100; 0.15;1822;2328;21.609417931
A3205; 32; 10000; 100; 0.15;1898;2328;21.115769313
A3205; 32; 10000; 100; 0.15;2039;2328;22.522388776
A3205; 32; 10000; 100; 0.15;1903;2328;21.222186231
A3205; 32; 10000; 100; 0.15;2159;2328;22.585775388
A3205; 32; 10000; 100; 0.15;2100;2328;21.776574943
A3205; 32; 10000; 100; 0.15;1988;2328;20.293610037
A3205; 32; 10000; 100; 0.15;2101;2328;21.896868653
A3205; 32; 10000; 100; 0.15;2016;2328;21.375976241
A3205; 32; 10000; 100; 0.15;2022;2328;22.295510923

