Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6909; 69; 10000; 100; 0.15;3216;4106;71.2971515
A6909; 69; 10000; 100; 0.15;3566;4106;67.362679093
A6909; 69; 10000; 100; 0.15;3247;4106;63.717617574
A6909; 69; 10000; 100; 0.15;3390;4106;62.215140732
A6909; 69; 10000; 100; 0.15;3171;4106;64.577028634
A6909; 69; 10000; 100; 0.15;3494;4106;67.37023938
A6909; 69; 10000; 100; 0.15;3454;4106;63.746065628
A6909; 69; 10000; 100; 0.15;3747;4106;67.624128102
A6909; 69; 10000; 100; 0.15;3336;4106;62.101809671
A6909; 69; 10000; 100; 0.15;3451;4106;64.384728656

