Data; nombre client; nb generation; taille population; taux mutation; fin cout; temps
A3205; 32; 1000; 20; 0.1; 1930.8887842655886; 0.11852044
A3205; 32; 1000; 40; 0.1; 2094.962891956028; 0.072230128
A3205; 32; 1000; 60; 0.1; 1928.118484034363; 0.066478385
A3205; 32; 1000; 80; 0.1; 1928.118484034363; 0.062036698
A3205; 32; 1000; 100; 0.1; 1833.3545280717565; 0.061697789
A3205; 32; 1000; 120; 0.1; 1833.3545280717565; 0.061609548
A3205; 32; 1000; 140; 0.1; 1833.3545280717565; 0.061603729
A3205; 32; 1000; 160; 0.1; 1833.3545280717565; 0.062096335
A3205; 32; 1000; 180; 0.1; 1833.3545280717565; 0.061245427
A3205; 32; 1000; 200; 0.1; 1908.757604012204; 0.065274508
A3205; 32; 1000; 220; 0.1; 1908.757604012204; 0.065689537
A3205; 32; 1000; 240; 0.1; 1660.7804504184364; 0.069242014
A3205; 32; 1000; 260; 0.1; 1660.7804504184364; 0.068357653
A3205; 32; 1000; 280; 0.1; 1660.7804504184364; 0.067470866
A3205; 32; 1000; 300; 0.1; 1660.7804504184364; 0.068807106
A3205; 32; 1000; 20; 0.1; 1746.4624211348553; 0.072426976
A3205; 32; 1000; 40; 0.1; 1746.4624211348553; 0.066313052
A3205; 32; 1000; 60; 0.1; 1629.051639170089; 0.065116448
A3205; 32; 1000; 80; 0.1; 1629.051639170089; 0.06673002
A3205; 32; 1000; 100; 0.1; 1660.7468312452845; 0.065049539
A3205; 32; 1000; 120; 0.1; 1966.3649466609986; 0.068423592
A3205; 32; 1000; 140; 0.1; 1523.5445866141717; 0.064180693
A3205; 32; 1000; 160; 0.1; 1523.5445866141717; 0.064700449
A3205; 32; 1000; 180; 0.1; 1523.5445866141717; 0.064988933
A3205; 32; 1000; 200; 0.1; 1523.5445866141717; 0.064445419
A3205; 32; 1000; 220; 0.1; 1792.4667820635577; 0.066648566
A3205; 32; 1000; 240; 0.1; 1466.1444088725873; 0.064065784
A3205; 32; 1000; 260; 0.1; 2438.3227518678373; 0.066326627
A3205; 32; 1000; 280; 0.1; 2438.3227518678373; 0.066425536
A3205; 32; 1000; 300; 0.1; 1785.4744639724645; 0.062938515
A3205; 32; 1000; 20; 0.1; 2188.5245483466933; 0.065143115
A3205; 32; 1000; 40; 0.1; 2188.5245483466933; 0.065060691
A3205; 32; 1000; 60; 0.1; 2203.8509552525607; 0.068671833
A3205; 32; 1000; 80; 0.1; 2203.8509552525607; 0.07073098
A3205; 32; 1000; 100; 0.1; 1594.5454163137294; 0.063324453
A3205; 32; 1000; 120; 0.1; 1587.9411996672811; 0.063757421
A3205; 32; 1000; 140; 0.1; 1587.9411996672811; 0.063963966
A3205; 32; 1000; 160; 0.1; 1795.7344622269359; 0.065529538
A3205; 32; 1000; 180; 0.1; 2256.4404894859854; 0.064563237
A3205; 32; 1000; 200; 0.1; 2256.4404894859854; 0.064708692
A3205; 32; 1000; 220; 0.1; 2095.0479400596255; 0.065706508
A3205; 32; 1000; 240; 0.1; 2095.0479400596255; 0.065360327
A3205; 32; 1000; 260; 0.1; 1575.4226406442071; 0.063812694
A3205; 32; 1000; 280; 0.1; 1575.4226406442071; 0.06412639
A3205; 32; 1000; 300; 0.1; 1575.4226406442071; 0.064307239
A3205; 32; 1000; 20; 0.1; 1831.2463890119934; 0.062844939
A3205; 32; 1000; 40; 0.1; 2266.897288052439; 0.066358143
A3205; 32; 1000; 60; 0.1; 1611.990108920606; 0.065514993
A3205; 32; 1000; 80; 0.1; 1767.2532213853754; 0.066426991
A3205; 32; 1000; 100; 0.1; 1767.2532213853754; 0.063798634
A3205; 32; 1000; 120; 0.1; 1893.2995937259834; 0.070817283
A3205; 32; 1000; 140; 0.1; 1466.2560374662685; 0.063880572
A3205; 32; 1000; 160; 0.1; 1466.2560374662685; 0.064669419
A3205; 32; 1000; 180; 0.1; 1676.5221381357671; 0.063452452
A3205; 32; 1000; 200; 0.1; 1911.4357923938855; 0.061376821
A3205; 32; 1000; 220; 0.1; 1865.9804235642932; 0.065896568
A3205; 32; 1000; 240; 0.1; 2365.0115882349487; 0.064532692
A3205; 32; 1000; 260; 0.1; 2041.4240641711326; 0.061920334
A3205; 32; 1000; 280; 0.1; 2041.4240641711326; 0.062057547
A3205; 32; 1000; 300; 0.1; 1571.6780293383922; 0.063508695
A3205; 32; 1000; 20; 0.1; 1571.6780293383922; 0.063210513
A3205; 32; 1000; 40; 0.1; 1523.0235308749677; 0.067307958
A3205; 32; 1000; 60; 0.1; 1514.0916718429974; 0.067862139
A3205; 32; 1000; 80; 0.1; 1563.806518882765; 0.067071837
A3205; 32; 1000; 100; 0.1; 1563.806518882765; 0.065001539
A3205; 32; 1000; 120; 0.1; 1985.9361876836565; 0.061083004
A3205; 32; 1000; 140; 0.1; 2016.9337995075057; 0.061697305
A3205; 32; 1000; 160; 0.1; 1775.318796619389; 0.063538755
A3205; 32; 1000; 180; 0.1; 1775.318796619389; 0.064145299
A3205; 32; 1000; 200; 0.1; 1682.7231456199106; 0.067073292
A3205; 32; 1000; 220; 0.1; 1682.7231456199106; 0.067171232
A3205; 32; 1000; 240; 0.1; 1682.7231456199106; 0.067314746
A3205; 32; 1000; 260; 0.1; 2044.1499301754482; 0.061649305
A3205; 32; 1000; 280; 0.1; 2044.1499301754482; 0.062541424
A3205; 32; 1000; 300; 0.1; 2028.5806937131629; 0.063671603
A3205; 32; 1000; 20; 0.1; 2112.3278523001118; 0.065222146
A3205; 32; 1000; 40; 0.1; 1585.1175981239658; 0.06284106
A3205; 32; 1000; 60; 0.1; 1585.1175981239658; 0.061906274
A3205; 32; 1000; 80; 0.1; 1585.1175981239658; 0.066704808
A3205; 32; 1000; 100; 0.1; 1585.1175981239658; 0.063670149
A3205; 32; 1000; 120; 0.1; 1585.1175981239658; 0.062708697
A3205; 32; 1000; 140; 0.1; 1585.1175981239658; 0.062983605
A3205; 32; 1000; 160; 0.1; 1585.1175981239658; 0.06257197
A3205; 32; 1000; 180; 0.1; 1701.5925344752823; 0.063018029
A3205; 32; 1000; 200; 0.1; 1701.5925344752823; 0.063077665
A3205; 32; 1000; 220; 0.1; 1656.6715808557192; 0.064022148
A3205; 32; 1000; 240; 0.1; 1656.6715808557192; 0.064179239
A3205; 32; 1000; 260; 0.1; 1656.6715808557192; 0.065829174
A3205; 32; 1000; 280; 0.1; 1656.6715808557192; 0.065465054
A3205; 32; 1000; 300; 0.1; 1930.9071637124125; 0.061903365
A3205; 32; 1000; 20; 0.1; 1930.9071637124125; 0.061423366
A3205; 32; 1000; 40; 0.1; 1443.094136714643; 0.065143114
A3205; 32; 1000; 60; 0.1; 1430.195300933403; 0.066950625
A3205; 32; 1000; 80; 0.1; 1430.195300933403; 0.06882553
A3205; 32; 1000; 100; 0.1; 1597.0993840579845; 0.063511118
A3205; 32; 1000; 120; 0.1; 1597.0993840579845; 0.062321304
A3205; 32; 1000; 140; 0.1; 1597.0993840579845; 0.062827968
A3205; 32; 1000; 160; 0.1; 1597.0993840579845; 0.06225391
A3205; 32; 1000; 180; 0.1; 2229.2548991908075; 0.068218016
A3205; 32; 1000; 200; 0.1; 2229.2548991908075; 0.068187956
A3205; 32; 1000; 220; 0.1; 2229.2548991908075; 0.067549897
A3205; 32; 1000; 240; 0.1; 2391.811831026183; 0.064402268
A3205; 32; 1000; 260; 0.1; 2378.2438602718225; 0.065534387
A3205; 32; 1000; 280; 0.1; 2378.2438602718225; 0.065580447
A3205; 32; 1000; 300; 0.1; 1871.5532625837309; 0.064404692
A3205; 32; 1000; 20; 0.1; 2177.1069280495462; 0.064839116
A3205; 32; 1000; 40; 0.1; 2177.1069280495462; 0.064662631
A3205; 32; 1000; 60; 0.1; 2177.1069280495462; 0.065087842
A3205; 32; 1000; 80; 0.1; 1812.8606641484193; 0.064261177
A3205; 32; 1000; 100; 0.1; 1812.8606641484193; 0.062793545
A3205; 32; 1000; 120; 0.1; 1812.8606641484193; 0.062248091
A3205; 32; 1000; 140; 0.1; 1812.8606641484193; 0.06217391
A3205; 32; 1000; 160; 0.1; 1812.8606641484193; 0.06212591
A3205; 32; 1000; 180; 0.1; 1763.5898920417155; 0.062834756
A3205; 32; 1000; 200; 0.1; 1521.366373175662; 0.066831353
A3205; 32; 1000; 220; 0.1; 1674.5689376663959; 0.066028446
A3205; 32; 1000; 240; 0.1; 1831.7449865826293; 0.062410516
A3205; 32; 1000; 260; 0.1; 2349.608266549343; 0.066334384
A3205; 32; 1000; 280; 0.1; 2349.608266549343; 0.066328082
A3205; 32; 1000; 300; 0.1; 2253.266377980933; 0.065097055
A3205; 32; 1000; 20; 0.1; 1774.2444950989216; 0.063482028
A3205; 32; 1000; 40; 0.1; 1774.2444950989216; 0.063517422
A3205; 32; 1000; 60; 0.1; 1774.2444950989216; 0.063278877
A3205; 32; 1000; 80; 0.1; 1655.6194300088562; 0.066399839
A3205; 32; 1000; 100; 0.1; 1670.001604804536; 0.065372933
A3205; 32; 1000; 120; 0.1; 2164.128517309201; 0.065524204
A3205; 32; 1000; 140; 0.1; 2164.128517309201; 0.065169297
A3205; 32; 1000; 160; 0.1; 1618.9372906185959; 0.064368814
A3205; 32; 1000; 180; 0.1; 1630.250427462258; 0.061674032
A3205; 32; 1000; 200; 0.1; 1542.486750092943; 0.062859484
A3205; 32; 1000; 220; 0.1; 1558.1447822946961; 0.065218751
A3205; 32; 1000; 240; 0.1; 1563.1982510969347; 0.063804451
A3205; 32; 1000; 260; 0.1; 1563.1982510969347; 0.063659967
A3205; 32; 1000; 280; 0.1; 1563.1982510969347; 0.064040572
A3205; 32; 1000; 300; 0.1; 2334.0104930846765; 0.064918631
A3205; 32; 1000; 20; 0.1; 1627.8342086596776; 0.063436937
A3205; 32; 1000; 40; 0.1; 1627.8342086596776; 0.063411726
A3205; 32; 1000; 60; 0.1; 1579.3473845352105; 0.065262387
A3205; 32; 1000; 80; 0.1; 1579.3473845352105; 0.065689537
A3205; 32; 1000; 100; 0.1; 1579.3473845352105; 0.064157905
A3205; 32; 1000; 120; 0.1; 1751.0416275398636; 0.067958139
A3205; 32; 1000; 140; 0.1; 1683.1479149449165; 0.067722018
A3205; 32; 1000; 160; 0.1; 1683.1479149449165; 0.067187716
A3205; 32; 1000; 180; 0.1; 1683.1479149449165; 0.067409776
A3205; 32; 1000; 200; 0.1; 2206.0138892199357; 0.068981166
A3205; 32; 1000; 220; 0.1; 2340.697399859788; 0.065065055
A3205; 32; 1000; 240; 0.1; 2043.8580997295912; 0.062301909
A3205; 32; 1000; 260; 0.1; 2043.8580997295912; 0.06141173
A3205; 32; 1000; 280; 0.1; 2043.8580997295912; 0.061794274
A3205; 32; 1000; 300; 0.1; 2009.9435237427006; 0.064408086

