Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3906; 39; 10000; 100; 0.15;1852;2409;36.25870105
A3906; 39; 10000; 100; 0.15;2160;2409;37.703499288
A3906; 39; 10000; 100; 0.15;2013;2409;36.26964026
A3906; 39; 10000; 100; 0.15;2107;2409;35.471774472
A3906; 39; 10000; 100; 0.15;2012;2409;34.642823379
A3906; 39; 10000; 100; 0.15;2121;2409;35.507131971
A3906; 39; 10000; 100; 0.15;1942;2409;36.151318363
A3906; 39; 10000; 100; 0.15;2164;2409;36.273916276
A3906; 39; 10000; 100; 0.15;2056;2409;34.829183866
A3906; 39; 10000; 100; 0.15;1972;2409;35.654798288

