Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6208; 62; 10000; 100; 0.15;3923;4415;59.056282682
A6208; 62; 10000; 100; 0.15;4094;4415;63.316967236
A6208; 62; 10000; 100; 0.15;3820;4415;58.68373256
A6208; 62; 10000; 100; 0.15;3143;4415;53.922595216
A6208; 62; 10000; 100; 0.15;3974;4415;59.84705322
A6208; 62; 10000; 100; 0.15;4163;4415;61.992252663
A6208; 62; 10000; 100; 0.15;3408;4415;58.7247171
A6208; 62; 10000; 100; 0.15;3534;4415;58.697652131
A6208; 62; 10000; 100; 0.15;3552;4415;55.384924928
A6208; 62; 10000; 100; 0.15;3699;4415;55.324343351

