Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A5509; 55; 10000; 100; 0.15;2784;3423;104.01543172
A5509; 55; 10000; 100; 0.15;2690;3423;91.601567026
A5509; 55; 10000; 100; 0.15;2751;3423;91.462176819
A5509; 55; 10000; 100; 0.15;2922;3423;90.275303091
A5509; 55; 10000; 100; 0.15;2683;3423;88.276461875
A5509; 55; 10000; 100; 0.15;2659;3423;89.622777157
A5509; 55; 10000; 100; 0.15;2886;3423;89.260670883
A5509; 55; 10000; 100; 0.15;2625;3423;93.125542483
A5509; 55; 10000; 100; 0.15;2821;3423;101.005456472
A5509; 55; 10000; 100; 0.15;2844;3423;88.192359291

