Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A4506;45;10000;100; 0.15;2432;2847;73.283722949
A4506;45;10000;100; 0.15;2575;2847;76.703963385
A4506;45;10000;100; 0.15;2654;2847;76.950378302
A4506;45;10000;100; 0.15;2505;2847;77.110364339
A4506;45;10000;100; 0.15;2344;2847;72.703637082
A4506;45;10000;100; 0.15;2549;2847;76.33670076
A4506;45;10000;100; 0.15;2330;2847;75.163782876
A4506;45;10000;100; 0.15;2598;2847;71.895992979
A4506;45;10000;100; 0.15;2476;2847;70.416372324
A4506;45;10000;100; 0.15;2317;2847;75.643929106
