Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3405; 34; 10000; 100; 0.15;1974;2190;24.719251584
A3405; 34; 10000; 100; 0.15;1703;2190;22.946971792
A3405; 34; 10000; 100; 0.15;1819;2190;23.378594703
A3405; 34; 10000; 100; 0.15;1827;2190;24.928833022
A3405; 34; 10000; 100; 0.15;1958;2190;30.025343032
A3405; 34; 10000; 100; 0.15;1910;2190;37.820324906
A3405; 34; 10000; 100; 0.15;1964;2190;41.919538044
A3405; 34; 10000; 100; 0.15;1883;2190;27.277844187
A3405; 34; 10000; 100; 0.15;1999;2190;25.712932562
A3405; 34; 10000; 100; 0.15;1757;2190;24.365917563

