Data; nombre client; nb generation; taille population; taux mutation; fin cout; temps;;;
A3205;32;1000;20; 0.1; 1801.2127646069039; 0.064743601;2529;;
A3205;32;1000;40; 0.1; 1931.297394714957; 0.062870635;2529;;
A3205;32;1000;60; 0.1; 2406.100982565077; 0.066851232;2529;;
A3205;32;1000;80; 0.1; 1976.345999274438; 0.066727111;2529;;
A3205;32;1000;100; 0.1; 1802.6363384707065; 0.067933412;2529;;
A3205;32;1000;120; 0.1; 1802.6363384707065; 0.067079595;2529;;
A3205;32;1000;140; 0.1; 1394.4409985973805; 0.065875719;2529;;
A3205;32;1000;160; 0.1; 2024.3971889251923; 0.063093665;2529;;
A3205;32;1000;180; 0.1; 1931.1065999066802; 0.064372692;2529;;
A3205;32;1000;200; 0.1; 1601.2885503859113; 0.065415114;2529;;
A3205;32;1000;220; 0.1; 1601.2885503859113; 0.065725902;2529;;
A3205;32;1000;240; 0.1; 1601.2885503859113; 0.065602265;2529;;
A3205;32;1000;260; 0.1; 1601.2885503859113; 0.065251721;2529;;
A3205;32;1000;280; 0.1; 1679.2158484484135; 0.067169776;2529;;
A3205;32;1000;300; 0.1; 1821.9394991983488; 0.065867961;2529;;
A3205;32;1000;20; 0.1; 2208.8755760101503; 0.067080079;2529;;
A3205;32;1000;40; 0.1; 1924.2426067691679; 0.066446869;2529;;
A3205;32;1000;60; 0.1; 1697.2917395977674; 0.064848328;2529;;
A3205;32;1000;80; 0.1; 1697.2917395977674; 0.067326867;2529;;
A3205;32;1000;100; 0.1; 1697.2917395977674; 0.065043722;2529;;
A3205;32;1000;120; 0.1; 1779.7316914807143; 0.062732454;2529;;
A3205;32;1000;140; 0.1; 1746.5347579877102; 0.067323958;2529;;
A3205;32;1000;160; 0.1; 1787.8971272650028; 0.065146994;2529;;
A3205;32;1000;180; 0.1; 2231.3990332100498; 0.068306743;2529;;
A3205;32;1000;200; 0.1; 1874.6565210680642; 0.064686873;2529;;
A3205;32;1000;220; 0.1; 1874.6565210680642; 0.064718873;2529;;
A3205;32;1000;240; 0.1; 1874.6565210680642; 0.064677661;2529;;
A3205;32;1000;260; 0.1; 1874.6565210680642; 0.065546508;2529;;
A3205;32;1000;280; 0.1; 1812.363107381042; 0.065770993;2529;;
A3205;32;1000;300; 0.1; 1647.0048130351975; 0.063852451;2529;;
A3205;32;1000;20; 0.1; 1862.477509411429; 0.067638139;2529;;
A3205;32;1000;40; 0.1; 1862.477509411429; 0.066564687;2529;;
A3205;32;1000;60; 0.1; 2266.704851269057; 0.068267471;2529;;
A3205;32;1000;80; 0.1; 1594.9234833563296; 0.068028926;2529;;
A3205;32;1000;100; 0.1; 1594.9234833563296; 0.065588205;2529;;
A3205;32;1000;120; 0.1; 1594.9234833563296; 0.06576081;2529;;
A3205;32;1000;140; 0.1; 1860.2000587847301; 0.06671402;2529;;
A3205;32;1000;160; 0.1; 2330.1977018931248; 0.067636684;2529;;
A3205;32;1000;180; 0.1; 2330.1977018931248; 0.066761535;2529;;
A3205;32;1000;200; 0.1; 2330.1977018931248; 0.066160809;2529;;
A3205;32;1000;220; 0.1; 1704.3188779084953; 0.065002509;2529;;
A3205;32;1000;240; 0.1; 1547.017318668216; 0.065814628;2529;;
A3205;32;1000;260; 0.1; 1579.9524432043704; 0.06920856;2529;;
A3205;32;1000;280; 0.1; 1838.0920246877847; 0.066191354;2529;;
A3205;32;1000;300; 0.1; 1764.2862535762779; 0.066485172;2529;;
A3205;32;1000;20; 0.1; 1764.2862535762779; 0.066784808;2529;;
A3205;32;1000;40; 0.1; 1764.2862535762779; 0.066400809;2529;;
A3205;32;1000;60; 0.1; 1764.2862535762779; 0.066257294;2529;;
A3205;32;1000;80; 0.1; 2389.2626672048327; 0.069520801;2529;;
A3205;32;1000;100; 0.1; 1835.0090922843078; 0.06711111;2529;;
A3205;32;1000;120; 0.1; 1837.4559687922656; 0.066281537;2529;;
A3205;32;1000;140; 0.1; 1521.7417020759908; 0.065900931;2529;;
A3205;32;1000;160; 0.1; 1669.2003840640225; 0.065447599;2529;;
A3205;32;1000;180; 0.1; 1797.90830641634; 0.064103117;2529;;
A3205;32;1000;200; 0.1; 1797.9083064163403; 0.064894388;2529;;
A3205;32;1000;220; 0.1; 1797.90830641634; 0.064606873;2529;;
A3205;32;1000;240; 0.1; 2371.946984347109; 0.067002504;2529;;
A3205;32;1000;260; 0.1; 1947.5995702930918; 0.063475725;2529;;
A3205;32;1000;280; 0.1; 2198.0843593366044; 0.070620435;2529;;
A3205;32;1000;300; 0.1; 2198.0843593366044; 0.070850737;2529;;
A3205;32;1000;20; 0.1; 1814.7741506282096; 0.064822631;2529;;
A3205;32;1000;40; 0.1; 1810.5255809689302; 0.066837172;2529;;
A3205;32;1000;60; 0.1; 1821.6002643267166; 0.064870146;2529;;
A3205;32;1000;80; 0.1; 1821.6002643267166; 0.066540929;2529;;
A3205;32;1000;100; 0.1; 2318.435098446444; 0.068291228;2529;;
A3205;32;1000;120; 0.1; 2032.6512505501303; 0.063954269;2529;;
