Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6409; 64; 10000; 100; 0.15;3890;4739;69.694886809
A6409; 64; 10000; 100; 0.15;3987;4739;65.97825039
A6409; 64; 10000; 100; 0.15;3973;4739;65.131914893
A6409; 64; 10000; 100; 0.15;3538;4739;61.597903763
A6409; 64; 10000; 100; 0.15;3449;4739;56.937793605
A6409; 64; 10000; 100; 0.15;3920;4739;58.075629412
A6409; 64; 10000; 100; 0.15;3841;4739;58.513079748
A6409; 64; 10000; 100; 0.15;3541;4739;57.074634425
A6409; 64; 10000; 100; 0.15;3821;4739;56.962409712
A6409; 64; 10000; 100; 0.15;3637;4739;59.703896575

