Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6310; 63; 10000; 100; 0.15;3666;3873;69.913222069
A6310; 63; 10000; 100; 0.15;3381;3873;69.239002086
A6310; 63; 10000; 100; 0.15;3408;3873;63.79674994
A6310; 63; 10000; 100; 0.15;3368;3873;62.464765839
A6310; 63; 10000; 100; 0.15;3332;3873;62.881938339
A6310; 63; 10000; 100; 0.15;3318;3873;66.225747669
A6310; 63; 10000; 100; 0.15;3617;3873;62.10443443
A6310; 63; 10000; 100; 0.15;3378;3873;61.72750056
A6310; 63; 10000; 100; 0.15;3515;3873;64.090447658
A6310; 63; 10000; 100; 0.15;3297;3873;59.772577767

