Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3205; 32; 1000; 100; 0.05;1855;1840.4490282690288;2.422483706
A3205; 32; 1000; 100; 0.1;2196;1840.4490282690288;2.450306934
A3205; 32; 1000; 100; 0.15000000000000002;1958;1840.4490282690288;2.405787332
A3205; 32; 1000; 100; 0.2;1989;1840.4490282690288;2.445670644
A3205; 32; 1000; 100; 0.05;2121;1840.4490282690288;2.444861636
A3205; 32; 1000; 100; 0.1;1696;1840.4490282690288;2.36380726
A3205; 32; 1000; 100; 0.15000000000000002;2130;1840.4490282690288;2.491060871
A3205; 32; 1000; 100; 0.2;2052;1840.4490282690288;2.377836746
A3205; 32; 1000; 100; 0.05;1689;1840.4490282690288;2.441777667
A3205; 32; 1000; 100; 0.1;2089;1840.4490282690288;2.44184117
A3205; 32; 1000; 100; 0.15000000000000002;2096;1840.4490282690288;2.44350751
A3205; 32; 1000; 100; 0.2;1911;1840.4490282690288;2.264290533
A3205; 32; 1000; 100; 0.05;2271;1840.4490282690288;2.4258773
A3205; 32; 1000; 100; 0.1;1575;1840.4490282690288;2.374549352
A3205; 32; 1000; 100; 0.15000000000000002;2155;1840.4490282690288;2.33004537
A3205; 32; 1000; 100; 0.2;2122;1840.4490282690288;2.416502794
A3205; 32; 1000; 100; 0.05;2094;1840.4490282690288;2.377057645
A3205; 32; 1000; 100; 0.1;2080;1840.4490282690288;2.31906645
A3205; 32; 1000; 100; 0.15000000000000002;2072;1840.4490282690288;2.396808197
A3205; 32; 1000; 100; 0.2;1717;1840.4490282690288;2.346331094
A3205; 32; 1000; 100; 0.05;1816;1840.4490282690288;2.416498486
A3205; 32; 1000; 100; 0.1;2143;1840.4490282690288;2.47888634
A3205; 32; 1000; 100; 0.15000000000000002;1988;1840.4490282690288;2.434948767
A3205; 32; 1000; 100; 0.2;2394;1840.4490282690288;2.475445254
A3205; 32; 1000; 100; 0.05;1927;1840.4490282690288;2.266293743
A3205; 32; 1000; 100; 0.1;2036;1840.4490282690288;2.323046317
A3205; 32; 1000; 100; 0.15000000000000002;1952;1840.4490282690288;2.344817108
A3205; 32; 1000; 100; 0.2;2000;1840.4490282690288;2.431856304
A3205; 32; 1000; 100; 0.05;1931;1840.4490282690288;2.385845573
A3205; 32; 1000; 100; 0.1;1921;1840.4490282690288;2.398361821
A3205; 32; 1000; 100; 0.15000000000000002;1897;1840.4490282690288;2.334137525
A3205; 32; 1000; 100; 0.2;2073;1840.4490282690288;2.557939609
A3205; 32; 1000; 100; 0.05;2022;1840.4490282690288;2.37550404
A3205; 32; 1000; 100; 0.1;1920;1840.4490282690288;2.313307185
A3205; 32; 1000; 100; 0.15000000000000002;2259;1840.4490282690288;2.566963331
A3205; 32; 1000; 100; 0.2;2220;1840.4490282690288;2.461933377
A3205; 32; 1000; 100; 0.05;2071;1840.4490282690288;2.424303174
A3205; 32; 1000; 100; 0.1;1952;1840.4490282690288;2.396009571
A3205; 32; 1000; 100; 0.15000000000000002;2035;1840.4490282690288;2.416799491
A3205; 32; 1000; 100; 0.2;1912;1840.4490282690288;2.259497715

