Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A4406; 44; 1000; 100; 0.1;2407;2466.071694599412;3.872608353
A4406; 44; 10000; 100; 0.1;2583;2466.071694599412;34.492080156
A4406; 44; 100000; 100; 0.1;2564;2466.071694599412;329.267929052
A4406; 44; 1000; 100; 0.1;2467;2466.071694599412;3.14175688
A4406; 44; 10000; 100; 0.1;2508;2466.071694599412;33.3437879
A4406; 44; 100000; 100; 0.1;2307;2466.071694599412;305.429586885
A4406; 44; 1000; 100; 0.1;2366;2466.071694599412;3.343630489
A4406; 44; 10000; 100; 0.1;2473;2466.071694599412;32.651939832
A4406; 44; 100000; 100; 0.1;2122;2466.071694599412;346.264939126
A4406; 44; 1000; 100; 0.1;2438;2466.071694599412;3.283607929
A4406; 44; 10000; 100; 0.1;2491;2466.071694599412;31.858902829
A4406; 44; 100000; 100; 0.1;2251;2466.071694599412;293.261412192
A4406; 44; 1000; 100; 0.1;2353;2466.071694599412;3.199434361
A4406; 44; 10000; 100; 0.1;2686;2466.071694599412;32.988706288
A4406; 44; 100000; 100; 0.1;2461;2466.071694599412;301.963113981
A4406; 44; 1000; 100; 0.1;2560;2466.071694599412;3.425030207
A4406; 44; 10000; 100; 0.1;2415;2466.071694599412;30.207311393
A4406; 44; 100000; 100; 0.1;2393;2466.071694599412;300.798193015
A4406; 44; 1000; 100; 0.1;2362;2466.071694599412;3.328607476
A4406; 44; 10000; 100; 0.1;2348;2466.071694599412;29.372925889
A4406; 44; 100000; 100; 0.1;2232;2466.071694599412;321.689800514
A4406; 44; 1000; 100; 0.1;2340;2466.071694599412;3.228616054
A4406; 44; 10000; 100; 0.1;2375;2466.071694599412;29.432496601
A4406; 44; 100000; 100; 0.1;2252;2466.071694599412;301.844238323
A4406; 44; 1000; 100; 0.1;2219;2466.071694599412;3.0321989
A4406; 44; 10000; 100; 0.1;2549;2466.071694599412;30.861275078
A4406; 44; 100000; 100; 0.1;2587;2466.071694599412;316.469063349

