Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A4406; 44; 7; 180; 0.1;1964;2423.842478110832;0.10813889
A4406; 44; 7; 200; 0.1;1959;2423.842478110832;0.124468547
A4406; 44; 8; 20; 0.1;2113;2423.842478110832;0.010318036
A4406; 44; 8; 40; 0.1;1920;2423.842478110832;0.020779586
A4406; 44; 8; 60; 0.1;1937;2423.842478110832;0.033224646
A4406; 44; 8; 80; 0.1;1949;2423.842478110832;0.045925706
A4406; 44; 8; 100; 0.1;1848;2423.842478110832;0.058859494
A4406; 44; 8; 120; 0.1;1942;2423.842478110832;0.074521031
A4406; 44; 8; 140; 0.1;1851;2423.842478110832;0.085707428
A4406; 44; 8; 160; 0.1;1861;2423.842478110832;0.102535509
A4406; 44; 8; 180; 0.1;1937;2423.842478110832;0.133170586
A4406; 44; 8; 200; 0.1;1978;2423.842478110832;0.137889605
A4406; 44; 9; 20; 0.1;1998;2423.842478110832;0.011152458
A4406; 44; 9; 40; 0.1;2194;2423.842478110832;0.023399701
A4406; 44; 9; 60; 0.1;1802;2423.842478110832;0.034462462
A4406; 44; 9; 80; 0.1;1883;2423.842478110832;0.049657092
A4406; 44; 9; 100; 0.1;1859;2423.842478110832;0.062911362
A4406; 44; 9; 120; 0.1;1903;2423.842478110832;0.081937741
A4406; 44; 9; 140; 0.1;2019;2423.842478110832;0.097868369
A4406; 44; 9; 160; 0.1;1877;2423.842478110832;0.114808933
A4406; 44; 9; 180; 0.1;1875;2423.842478110832;0.13781009
A4406; 44; 9; 200; 0.1;1866;2423.842478110832;0.156376348

