Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3605; 36; 10000; 100; 0.15;1971;2390;28.29699316
A3605; 36; 10000; 100; 0.15;2254;2390;27.23650809
A3605; 36; 10000; 100; 0.15;2077;2390;36.441848275
A3605; 36; 10000; 100; 0.15;1858;2390;34.437814808
A3605; 36; 10000; 100; 0.15;1779;2390;30.005994845
A3605; 36; 10000; 100; 0.15;2232;2390;29.946078555
A3605; 36; 10000; 100; 0.15;2081;2390;30.896784955
A3605; 36; 10000; 100; 0.15;2191;2390;28.3699804
A3605; 36; 10000; 100; 0.15;1893;2390;27.142609885
A3605; 36; 10000; 100; 0.15;2047;2390;26.758314647

