Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A4607;46;10000;100; 0.15;2350;2694;75.501848966
A4607;46;10000;100; 0.15;2323;2694;71.88227374
A4607;46;10000;100; 0.15;2219;2694;72.19638207
A4607;46;10000;100; 0.15;2164;2694;68.820884313
A4607;46;10000;100; 0.15;2251;2694;69.421729887
A4607;46;10000;100; 0.15;2144;2694;70.774935333
A4607;46;10000;100; 0.15;2178;2694;71.273248307
A4607;46;10000;100; 0.15;2350;2694;75.007451619
A4607;46;10000;100; 0.15;2228;2694;76.506124833
A4607;46;10000;100; 0.15;2196;2694;78.040721355
