Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3805; 38; 10000; 100; 0.15;1641;2361;30.767389374
A3805; 38; 10000; 100; 0.15;1767;2361;27.309469632
A3805; 38; 10000; 100; 0.15;1829;2361;28.032442774
A3805; 38; 10000; 100; 0.15;1926;2361;27.54192602
A3805; 38; 10000; 100; 0.15;1655;2361;27.264304224
A3805; 38; 10000; 100; 0.15;1814;2361;28.808179976
A3805; 38; 10000; 100; 0.15;1901;2361;27.236812066
A3805; 38; 10000; 100; 0.15;1913;2361;26.454671697
A3805; 38; 10000; 100; 0.15;1819;2361;27.728064228
A3805; 38; 10000; 100; 0.15;1937;2361;30.942064428

