Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6509;65;1000;100; 0.1;3254;4036.325701293407;9.43903845
A6509;65;10000;100; 0.1;3216;4036.325701293407;101.431644529
A6509;65;100000;100; 0.1;3508;4036.325701293407;1003.365058994
A6509;65;1000;100; 0.1;3477;4036.325701293407;10.378213387
A6509;65;10000;100; 0.1;3444;4036.325701293407;103.552089813
A6509;65;100000;100; 0.1;3752;4036.325701293407;1020.369014863
A6509;65;1000;100; 0.1;3097;4036.325701293407;9.543116259
A6509;65;10000;100; 0.1;3482;4036.325701293407;99.483031557
A6509;65;100000;100; 0.1;3017;4036.325701293407;969.828055689
A6509;65;1000;100; 0.1;3542;4036.325701293407;10.421478736
A6509;65;10000;100; 0.1;3267;4036.325701293407;100.269407832
A6509;65;100000;100; 0.1;3707;4036.325701293407;1033.735912398
A6509;65;1000;100; 0.1;3618;4036.325701293407;9.970665768
A6509;65;10000;100; 0.1;3464;4036.325701293407;98.76772226
A6509;65;100000;100; 0.1;3654;4036.325701293407;1013.43761203
A6509;65;1000;100; 0.1;3404;4036.325701293407;10.038216635
A6509;65;10000;100; 0.1;3386;4036.325701293407;96.394916376
A6509;65;100000;100; 0.1;3395;4036.325701293407;975.162092698
A6509;65;1000;100; 0.1;3367;4036.325701293407;10.102607267
A6509;65;10000;100; 0.1;3438;4036.325701293407;98.065368084
A6509;65;100000;100; 0.1;3650;4036.325701293407;961.767742624
A6509;65;1000;100; 0.1;3674;4036.325701293407;9.773918608
A6509;65;10000;100; 0.1;3356;4036.325701293407;96.779625262
A6509;65;100000;100; 0.1;3517;4036.325701293407;1012.384054827
A6509;65;1000;100; 0.1;3459;4036.325701293407;10.150489817
A6509;65;10000;100; 0.1;3618;4036.325701293407;98.896476372
A6509;65;100000;100; 0.1;3532;4036.325701293407;1005.989259662
A6509;65;1000;100; 0.1;3350;4036.325701293407;10.230988046
A6509;65;10000;100; 0.1;3262;4036.325701293407;97.878567082
A6509;65;100000;100; 0.1;3235;4036.325701293407;1019.027757993
