Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A5407; 54; 10000; 100; 0.15;3190;3603;98.392188625
A5407; 54; 10000; 100; 0.15;2861;3603;85.968763712
A5407; 54; 10000; 100; 0.15;2996;3603;87.179342111
A5407; 54; 10000; 100; 0.15;3204;3603;100.771731947
A5407; 54; 10000; 100; 0.15;3074;3603;98.868712076
A5407; 54; 10000; 100; 0.15;3073;3603;88.793408016
A5407; 54; 10000; 100; 0.15;3085;3603;91.398737458
A5407; 54; 10000; 100; 0.15;3007;3603;88.709236584
A5407; 54; 10000; 100; 0.15;3189;3603;90.667537291
A5407; 54; 10000; 100; 0.15;2845;3603;85.786589609

