Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3306;33;10000;100; 0.15;1593;1935;49.493945954
A3306;33;10000;100; 0.15;1625;1935;48.816761171
A3306;33;10000;100; 0.15;1600;1935;46.952927144
A3306;33;10000;100; 0.15;1668;1935;49.080519077
A3306;33;10000;100; 0.15;1541;1935;47.267688079
A3306;33;10000;100; 0.15;1579;1935;54.413050635
A3306;33;10000;100; 0.15;1495;1935;53.4136053
A3306;33;10000;100; 0.15;1678;1935;47.522757521
A3306;33;10000;100; 0.15;1499;1935;46.673285156
A3306;33;10000;100; 0.15;1529;1935;48.611261064
