Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3305; 33; 10000; 100; 0.15;1661;2002;26.912233521
A3305; 33; 10000; 100; 0.15;1669;2002;25.231970349
A3305; 33; 10000; 100; 0.15;1627;2002;27.100323536
A3305; 33; 10000; 100; 0.15;1693;2002;22.927890475
A3305; 33; 10000; 100; 0.15;1746;2002;22.464686366
A3305; 33; 10000; 100; 0.15;1785;2002;23.715084746
A3305; 33; 10000; 100; 0.15;1609;2002;21.436759201
A3305; 33; 10000; 100; 0.15;1561;2002;22.033340724
A3305; 33; 10000; 100; 0.15;1407;2002;24.539906525
A3305; 33; 10000; 100; 0.15;1495;2002;25.639563181

