Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6109; 61; 10000; 100; 0.15;2947;3154;65.53724851
A6109; 61; 10000; 100; 0.15;2793;3154;59.377781764
A6109; 61; 10000; 100; 0.15;2962;3154;61.560447316
A6109; 61; 10000; 100; 0.15;2906;3154;61.257252404
A6109; 61; 10000; 100; 0.15;2739;3154;57.394908217
A6109; 61; 10000; 100; 0.15;2858;3154;61.326912138
A6109; 61; 10000; 100; 0.15;2623;3154;58.132575783
A6109; 61; 10000; 100; 0.15;2943;3154;62.663163346
A6109; 61; 10000; 100; 0.15;2711;3154;57.065052583
A6109; 61; 10000; 100; 0.15;2846;3154;58.414696652

