Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6509; 65; 0; 20; 0.1;2832;4218.404455043727;0.002621084
A6509; 65; 0; 40; 0.1;2780;4218.404455043727;0.004977927
A6509; 65; 0; 60; 0.1;2632;4218.404455043727;0.009314887
A6509; 65; 0; 80; 0.1;2744;4218.404455043727;0.011270761
A6509; 65; 0; 100; 0.1;2634;4218.404455043727;0.014301541
A6509; 65; 0; 120; 0.1;2690;4218.404455043727;0.017162625
A6509; 65; 0; 140; 0.1;2666;4218.404455043727;0.020718495
A6509; 65; 0; 160; 0.1;2684;4218.404455043727;0.024206487
A6509; 65; 0; 180; 0.1;2654;4218.404455043727;0.025152908
A6509; 65; 0; 200; 0.1;2731;4218.404455043727;0.031590711
A6509; 65; 1; 20; 0.1;2676;4218.404455043727;0.003897203
A6509; 65; 1; 40; 0.1;2838;4218.404455043727;0.025670725
A6509; 65; 1; 60; 0.1;2751;4218.404455043727;0.015280448
A6509; 65; 1; 80; 0.1;2839;4218.404455043727;0.019994618
A6509; 65; 1; 100; 0.1;2673;4218.404455043727;0.024138124
A6509; 65; 1; 120; 0.1;2641;4218.404455043727;0.028193871
A6509; 65; 1; 140; 0.1;2610;4218.404455043727;0.035531065
A6509; 65; 1; 160; 0.1;2538;4218.404455043727;0.042175413
A6509; 65; 1; 180; 0.1;2660;4218.404455043727;0.04759746
A6509; 65; 1; 200; 0.1;2638;4218.404455043727;0.054454171
A6509; 65; 2; 20; 0.1;2573;4218.404455043727;0.006880468
A6509; 65; 2; 40; 0.1;2780;4218.404455043727;0.012282152
A6509; 65; 2; 60; 0.1;2875;4218.404455043727;0.019054014
A6509; 65; 2; 80; 0.1;2684;4218.404455043727;0.026496905
A6509; 65; 2; 100; 0.1;2757;4218.404455043727;0.036710214
A6509; 65; 2; 120; 0.1;2871;4218.404455043727;0.043544137
A6509; 65; 2; 140; 0.1;2699;4218.404455043727;0.05083915
A6509; 65; 2; 160; 0.1;2642;4218.404455043727;0.058978766
A6509; 65; 2; 180; 0.1;2704;4218.404455043727;0.068068684
A6509; 65; 2; 200; 0.1;2617;4218.404455043727;0.075247332
A6509; 65; 3; 20; 0.1;2953;4218.404455043727;0.008119253
A6509; 65; 3; 40; 0.1;2740;4218.404455043727;0.015838992
A6509; 65; 3; 60; 0.1;2999;4218.404455043727;0.025583453
A6509; 65; 3; 80; 0.1;2844;4218.404455043727;0.033904402
