Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A4507;45;10000;100; 0.15;2462;2873;73.186362215
A4507;45;10000;100; 0.15;2610;2873;74.140331297
A4507;45;10000;100; 0.15;2432;2873;70.171750857
A4507;45;10000;100; 0.15;2632;2873;71.29144996
A4507;45;10000;100; 0.15;2596;2873;72.85579138
A4507;45;10000;100; 0.15;2622;2873;71.311529912
A4507;45;10000;100; 0.15;2422;2873;72.708615494
A4507;45;10000;100; 0.15;2485;2873;71.753966657
A4507;45;10000;100; 0.15;2380;2873;69.719519225
A4507;45;10000;100; 0.15;2471;2873;72.728238235
