Data; nombre client; nb generation; taille population; taux mutation; fin cout; temps
A3305; 33; 1000; 20; 0.05; 1511.7533176455386; 0.116979111
A3305; 33; 1000; 20; 0.1; 1511.7533176455386; 0.076866723
A3305; 33; 1000; 20; 0.15; 1401.7307441282776; 0.069612922
A3305; 33; 1000; 20; 0.2; 1323.2308276882368; 0.070430375
A3305; 33; 1000; 20; 0.25; 1468.3198075455407; 0.07252346
A3305; 33; 1000; 40; 0.05; 1424.254373878719; 0.072072068
A3305; 33; 1000; 40; 0.1; 1424.254373878719; 0.073884427
A3305; 33; 1000; 40; 0.15; 1498.5509390546429; 0.071447585
A3305; 33; 1000; 40; 0.2; 1498.5509390546429; 0.070405163
A3305; 33; 1000; 40; 0.25; 1754.1329461799303; 0.073332671
A3305; 33; 1000; 60; 0.05; 1433.5685783385102; 0.069678376
A3305; 33; 1000; 60; 0.1; 1415.2816101684396; 0.072061402
A3305; 33; 1000; 60; 0.15; 1415.2816101684396; 0.07174528
A3305; 33; 1000; 60; 0.2; 1657.2350110597615; 0.068234986
A3305; 33; 1000; 60; 0.25; 1657.2350110597615; 0.066969535
A3305; 33; 1000; 80; 0.05; 1345.2488594891463; 0.071133403
A3305; 33; 1000; 80; 0.1; 1826.9982520135932; 0.072255824
A3305; 33; 1000; 80; 0.15; 1700.3576558403417; 0.076557875
A3305; 33; 1000; 80; 0.2; 1637.5991378786227; 0.072078371
A3305; 33; 1000; 80; 0.25; 1637.5991378786227; 0.071407342
A3305; 33; 1000; 100; 0.05; 1637.5991378786227; 0.072435703
A3305; 33; 1000; 100; 0.1; 1637.5991378786227; 0.071958128
A3305; 33; 1000; 100; 0.15; 1532.4090973702496; 0.071441767
A3305; 33; 1000; 100; 0.2; 1577.5068017582255; 0.075681756
A3305; 33; 1000; 100; 0.25; 1577.5068017582255; 0.074332426
A3305; 33; 1000; 120; 0.05; 1577.5068017582255; 0.074905031
A3305; 33; 1000; 120; 0.1; 1481.2774012608108; 0.073297762
A3305; 33; 1000; 120; 0.15; 1379.0552783137362; 0.069538255
A3305; 33; 1000; 120; 0.2; 1379.0552783137362; 0.069029166
A3305; 33; 1000; 120; 0.25; 1886.785588888856; 0.071815099
A3305; 33; 1000; 140; 0.05; 1886.785588888856; 0.072042977
A3305; 33; 1000; 140; 0.1; 1886.785588888856; 0.071738008
A3305; 33; 1000; 140; 0.15; 1573.1660423436413; 0.069115954
A3305; 33; 1000; 140; 0.2; 1340.5780292193972; 0.06914456
A3305; 33; 1000; 140; 0.25; 1470.6500491944807; 0.069097045
A3305; 33; 1000; 160; 0.05; 1551.744404097649; 0.072357158
A3305; 33; 1000; 160; 0.1; 1476.2256155729851; 0.072183098
A3305; 33; 1000; 160; 0.15; 1452.1437806873812; 0.073291459
A3305; 33; 1000; 160; 0.2; 1452.1437806873812; 0.072972429
A3305; 33; 1000; 160; 0.25; 1342.5717365657072; 0.071690008
A3305; 33; 1000; 180; 0.05; 1342.5717365657072; 0.071606614
A3305; 33; 1000; 180; 0.1; 1798.5642427442426; 0.073172671
A3305; 33; 1000; 180; 0.15; 1891.5094386390365; 0.075053394
