Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A3706; 37; 10000; 100; 0.15;2096;2684;51.708029314
A3706; 37; 10000; 100; 0.15;2139;2684;51.776816057
A3706; 37; 10000; 100; 0.15;1958;2684;52.892236383
A3706; 37; 10000; 100; 0.15;2059;2684;51.27033389
A3706; 37; 10000; 100; 0.15;2122;2684;51.688940876
A3706; 37; 10000; 100; 0.15;2171;2684;52.667176079
A3706; 37; 10000; 100; 0.15;2140;2684;53.264942873
A3706; 37; 10000; 100; 0.15;2113;2684;51.877373873
A3706; 37; 10000; 100; 0.15;2287;2684;51.399234426
A3706; 37; 10000; 100; 0.15;1840;2684;50.188512028

